Sr. No.,Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type
1,06:48:31,22-08-2022,43026117280,33760504369,393024.39,UK pounds,Moroccan dirham,USA,Austria,Cash Deposit
2,08:24:36,16-07-2022,97071361022,59256310347,442669.59,Mexican Peso,Naira,USA,USA,Credit card
3,03:00:59,06-06-2022,80109487516,5180723258,338377.11,Naira,UK pounds,Albania,Switzerland,Credit card
4,12:01:06,16-09-2022,10192509014,27587009099,172575.25,Yen,Indian rupee,Nigeria,Morocco,Cross-border
5,10:15:02,10-06-2022,97901350735,73390680746,474738.01,Swiss franc,Dirham,Italy,Italy,Cross-border
6,02:36:31,21-05-2022,32017630410,22166756729,168399.93,Albanian lek,Moroccan dirham,Pakistan,Switzerland,Cross-border
7,00:41:55,17-12-2022,76512687382,92385216314,301203.16,Yen,Mexican Peso,Nigeria,Austria,Cross-border
8,12:13:49,18-03-2022,46367793658,68502828591,491254.08,UK pounds,US dollar,Spain,India,Debit card
9,12:02:02,05-08-2022,54496356592,58914072167,375059.56,Pakistani rupee,Turkish lira,Spain,Albania,Cross-border
10,12:53:27,25-07-2022,9884739810,16151942938,375686.7,Pakistani rupee,Swiss franc,Austria,USA,Cheque
11,10:24:46,24-07-2022,38604178126,48204699711,491020.82,Moroccan dirham,Swiss franc,Netherlands,Morocco,ACH
12,16:01:35,22-06-2022,12243375096,71385057251,190338.88,Dirham,Mexican Peso,Netherlands,UK,Credit card
13,07:48:20,08-06-2022,24868989584,78299304340,372360.05,Albanian lek,Naira,Pakistan,Italy,Debit card
14,23:32:27,13-01-2022,20713406884,16613751580,289028.03,Naira,Albanian lek,Germany,Germany,Cash Withdrawal
15,12:02:53,08-06-2022,36613570575,28288110877,393385.25,Dirham,Euro,UK,Albania,Cheque
16,03:20:11,04-09-2022,3235557277,96833934871,37079.11,Mexican Peso,Naira,Switzerland,Austria,Cross-border
17,23:08:36,19-08-2022,87733357626,63448342251,353969.11,Dirham,Swiss franc,France,Pakistan,ACH
18,04:35:25,25-06-2022,24996065253,52727417301,346579.83,Pakistani rupee,Swiss franc,Italy,USA,Debit card
19,09:24:34,19-03-2022,59490635132,35593354091,286524.5,Yen,Mexican Peso,Spain,Switzerland,Cross-border
20,05:09:41,30-04-2022,34986150692,1200096767,462104.18,Albanian lek,Dirham,Austria,Italy,Cross-border
21,01:21:00,30-01-2022,4037905275,95858770836,499920.5,Moroccan dirham,Swiss franc,Austria,India,Credit card
22,00:11:08,18-09-2022,87462341472,73531647470,158842.93,US dollar,UK pounds,Netherlands,UAE,Cash Deposit
23,02:49:14,24-03-2022,80418787062,56580119271,322476.14,Swiss franc,Euro,Turkey,India,Cash Deposit
24,21:07:15,20-01-2022,315006733,14603845938,430153.99,Swiss franc,Moroccan dirham,Morocco,UK,Debit card
25,15:08:58,31-03-2022,88400206576,31735437619,469812.07,Yen,Swiss franc,India,Albania,ACH
26,03:58:38,19-05-2022,78164229600,84456675937,275791.69,Dirham,UK pounds,Italy,UK,Credit card
27,15:15:35,25-10-2022,19227429783,17092468291,274975.62,Turkish lira,Dirham,USA,Morocco,Credit card
28,18:03:41,11-01-2022,55779982488,37589673409,127237.14,Swiss franc,Moroccan dirham,Nigeria,India,ACH
29,12:21:30,13-04-2022,7538570606,42738516469,135752.64,Dirham,Turkish lira,Albania,Nigeria,Cash Withdrawal
30,05:51:37,07-01-2022,48993697058,39987686990,225842.47,Swiss franc,Yen,Austria,Austria,Credit card
31,06:34:25,01-08-2022,77910570860,70642103992,360576.67,Albanian lek,US dollar,Switzerland,Austria,Cross-border
32,17:34:08,16-05-2022,36997804973,95777353419,424263.84,Moroccan dirham,Dirham,Pakistan,Spain,Credit card
33,08:21:03,16-01-2022,2921643998,94799969036,286099.19,Indian rupee,Turkish lira,Japan,Switzerland,ACH
34,12:03:13,13-10-2022,65231935907,77954249491,147795.48,Dirham,Euro,USA,Pakistan,Cross-border
35,14:31:23,15-08-2022,57276154661,61790201729,72399.8,Swiss franc,Dirham,Japan,Pakistan,Cheque
36,13:21:57,21-09-2022,25838785184,37313506947,171435.88,Indian rupee,Moroccan dirham,UAE,Spain,Cross-border
37,06:37:16,10-12-2022,99874068926,81975781174,475656.4,Moroccan dirham,Pakistani rupee,UK,Mexico,Credit card
38,04:22:52,11-06-2022,85627971103,31229656141,231736.17,Naira,Euro,Mexico,Italy,Cash Withdrawal
39,11:35:55,26-06-2022,92298062027,28985328724,213337.27,Mexican Peso,Moroccan dirham,Albania,Japan,Cross-border
40,09:05:14,11-05-2022,78494990126,79396692855,84044.62,Yen,Pakistani rupee,UAE,Spain,Cheque
41,12:37:14,18-12-2022,9805721209,39680080092,492092.18,US dollar,Swiss franc,UAE,Germany,Credit card
42,19:23:24,02-06-2022,49460395587,81618845053,33371.33,Swiss franc,Dirham,Netherlands,Italy,Credit card
43,16:42:26,13-06-2022,96683323767,90643106537,177192.29,Moroccan dirham,Yen,Spain,USA,Cheque
44,09:20:47,21-03-2022,66747432643,63205531800,318339.05,Moroccan dirham,Turkish lira,Pakistan,Mexico,Cash Withdrawal
45,01:57:31,07-12-2022,68510605792,67250919215,421605.96,Albanian lek,Albanian lek,Mexico,Italy,Cheque
46,20:36:55,02-12-2022,15138356052,38682357439,33560.74,UK pounds,Naira,India,Morocco,Cross-border
47,02:57:14,11-11-2022,50922827967,91148150091,478811.49,Swiss franc,Albanian lek,Switzerland,Japan,ACH
48,21:04:23,01-01-2022,33427196300,27056583145,101318.96,Turkish lira,US dollar,Italy,Turkey,ACH
49,05:01:31,27-08-2022,11369968047,1886842360,445043.6,US dollar,Turkish lira,Japan,Mexico,Debit card
50,01:34:48,08-04-2022,73075788935,62417080960,407707.97,Naira,Euro,Austria,Germany,Credit card
51,10:10:15,19-12-2022,67085130309,75574494474,143394.97,Pakistani rupee,Naira,UAE,Austria,Credit card
52,23:20:41,26-11-2022,10593591782,4935094401,43632.17,Albanian lek,Euro,Austria,Nigeria,Cash Deposit
53,15:19:41,18-10-2022,39757015029,30571525790,38142.25,Euro,Naira,Netherlands,Morocco,Cross-border
54,17:55:46,14-07-2022,79785463753,17814456914,477856.67,Dirham,Naira,Italy,Japan,Cross-border
55,07:25:03,12-10-2022,4567915076,87911247875,398278.61,UK pounds,Dirham,Japan,Mexico,ACH
56,19:12:01,25-02-2022,80913841092,54653956534,81757.49,Naira,Naira,Italy,France,ACH
57,05:38:11,09-07-2022,6638544427,2081221070,214692.17,Indian rupee,Indian rupee,Pakistan,Morocco,Cash Withdrawal
58,18:12:42,15-06-2022,28058559022,14979149375,158182.87,Albanian lek,Moroccan dirham,Morocco,France,Cash Withdrawal
59,19:29:56,05-05-2022,655186919,94743207648,50681.13,Yen,Albanian lek,Italy,Mexico,Cash Deposit
60,00:06:24,14-10-2022,94194569364,96366311028,330427.92,Yen,Moroccan dirham,Austria,Albania,ACH
61,00:16:34,14-07-2022,77373853136,15807260822,487934.87,Euro,Naira,Turkey,Switzerland,ACH
62,01:41:16,15-07-2022,511502396,60085504260,114865.6,Yen,Turkish lira,Italy,Turkey,Debit card
63,23:19:17,04-09-2022,72676343286,458410187,342169.28,Swiss franc,Albanian lek,Japan,Morocco,Debit card
64,22:58:44,28-01-2022,14099624139,94783029243,206380.61,Naira,Naira,Spain,Germany,Credit card
65,07:24:17,16-11-2022,99966340255,31871894905,488359.58,Yen,Swiss franc,Turkey,Turkey,Cash Withdrawal
66,02:24:25,17-07-2022,28656747740,74364740136,17544.35,Naira,Dirham,UAE,Netherlands,ACH
67,13:07:51,29-11-2022,51665546185,84425919716,113549.28,Euro,Yen,UAE,Albania,ACH
68,21:00:48,23-07-2022,3009027190,64676217919,345770.4,Yen,Yen,Netherlands,Germany,Cross-border
69,10:07:25,10-11-2022,94019077351,79624279774,261929.58,Indian rupee,Swiss franc,Pakistan,Nigeria,ACH
70,14:16:54,04-02-2022,55238886150,76097185217,424077.24,Albanian lek,Swiss franc,Switzerland,France,ACH
71,23:49:04,21-12-2022,38505995655,13617975986,398340.92,Naira,Moroccan dirham,UK,UK,Cash Withdrawal
72,11:48:35,25-06-2022,96514356298,3145338357,69674.33,Naira,Mexican Peso,USA,Austria,ACH
73,02:18:47,21-11-2022,90015801893,670200843,410359.53,Naira,Naira,Netherlands,UK,Cross-border
74,07:47:02,13-05-2022,39119607224,34047375124,160776.16,Mexican Peso,US dollar,USA,Pakistan,Cash Withdrawal
75,04:48:46,07-11-2022,41297163855,87980252121,440050.34,Euro,Yen,Morocco,Nigeria,ACH
76,16:57:49,25-04-2022,12822648211,43157525730,483142.83,Albanian lek,Albanian lek,Japan,Morocco,ACH
77,07:04:26,05-06-2022,98583264215,13038321950,289594.17,Swiss franc,UK pounds,India,India,Cross-border
78,12:36:24,21-09-2022,9631949195,41759440337,82722.59,Pakistani rupee,US dollar,Pakistan,Switzerland,ACH
79,20:47:33,28-08-2022,57539872053,44375213558,203384.09,Moroccan dirham,Pakistani rupee,Japan,Spain,ACH
80,09:14:08,22-03-2022,77542402924,53349483628,438571.78,Turkish lira,Mexican Peso,India,France,Cash Deposit
81,23:47:38,08-07-2022,27720100259,23708304998,165497.74,UK pounds,Moroccan dirham,Austria,Pakistan,Debit card
82,03:32:37,17-09-2022,91711179995,5484061730,451972.53,US dollar,Yen,Nigeria,Japan,Cash Deposit
83,22:20:52,01-06-2022,55593562649,96336589695,426588.94,Dirham,Euro,UAE,Morocco,Cross-border
84,14:56:01,18-03-2022,59828346343,5722097888,20907.91,US dollar,Swiss franc,Turkey,USA,Cash Deposit
85,15:46:48,07-02-2022,51581504613,66148345936,157054.17,Pakistani rupee,Pakistani rupee,Turkey,Germany,Credit card
86,12:36:19,20-09-2022,24664211173,15667645240,127511.91,UK pounds,Dirham,Mexico,Netherlands,Cash Withdrawal
87,13:53:05,24-03-2022,34950889542,91334815980,431205.98,Albanian lek,Euro,Japan,Switzerland,ACH
88,19:04:31,11-04-2022,2883907269,56157963180,67480,Swiss franc,Pakistani rupee,Morocco,Japan,Cross-border
89,19:20:10,12-01-2022,48147499467,29917263088,75240.81,UK pounds,Yen,Morocco,Japan,Cross-border
90,10:22:29,13-10-2022,52700895702,4604218021,92186.14,Swiss franc,Euro,Switzerland,Albania,Cross-border
91,06:11:33,06-01-2022,63840733063,41830116114,214943.32,Indian rupee,UK pounds,Italy,Turkey,ACH
